"","X","Source","Year","Mean"
"116",116,"GISTEMP",1959,0.03
"117",117,"GCAG",1958,0.1095
"118",118,"GISTEMP",1958,0.07
"119",119,"GCAG",1957,0.0488
"120",120,"GISTEMP",1957,0.04
"121",121,"GCAG",1956,-0.199
"122",122,"GISTEMP",1956,-0.2
"123",123,"GCAG",1955,-0.1354
"124",124,"GISTEMP",1955,-0.15
"125",125,"GCAG",1954,-0.1165
"126",126,"GISTEMP",1954,-0.13
"127",127,"GCAG",1953,0.0952
"128",128,"GISTEMP",1953,0.08
"129",129,"GCAG",1952,0.0248
"130",130,"GISTEMP",1952,0.01
"131",131,"GCAG",1951,-0.0132
"132",132,"GISTEMP",1951,-0.07
"133",133,"GCAG",1950,-0.1616
"134",134,"GISTEMP",1950,-0.18
"135",135,"GCAG",1949,-0.0568
"136",136,"GISTEMP",1949,-0.09
"137",137,"GCAG",1948,-0.0487
"138",138,"GISTEMP",1948,-0.09
"139",139,"GCAG",1947,-0.0477
"140",140,"GISTEMP",1947,-0.05
"141",141,"GCAG",1946,-0.004
"142",142,"GISTEMP",1946,-0.04
"143",143,"GCAG",1945,0.171
"144",144,"GISTEMP",1945,0.12
"145",145,"GCAG",1944,0.2928
"146",146,"GISTEMP",1944,0.25
"147",147,"GCAG",1943,0.157
"148",148,"GISTEMP",1943,0.13
"149",149,"GCAG",1942,0.1538
"150",150,"GISTEMP",1942,0.09
"151",151,"GCAG",1941,0.196
"152",152,"GISTEMP",1941,0.12
"153",153,"GCAG",1940,0.0947
"154",154,"GISTEMP",1940,0.08
"155",155,"GCAG",1939,-0.0139
"156",156,"GISTEMP",1939,-0.03
"157",157,"GCAG",1938,-0.0288
"158",158,"GISTEMP",1938,-0.03
"159",159,"GCAG",1937,-0.0157
"160",160,"GISTEMP",1937,-0.03
"161",161,"GCAG",1936,-0.1134
"162",162,"GISTEMP",1936,-0.15
"163",163,"GCAG",1935,-0.1392
"164",164,"GISTEMP",1935,-0.2
"165",165,"GCAG",1934,-0.1015
"166",166,"GISTEMP",1934,-0.14
"167",167,"GCAG",1933,-0.2439
"168",168,"GISTEMP",1933,-0.29
"169",169,"GCAG",1932,-0.1168
"170",170,"GISTEMP",1932,-0.17
"171",171,"GCAG",1931,-0.0686
"172",172,"GISTEMP",1931,-0.09
"173",173,"GCAG",1930,-0.1003
"174",174,"GISTEMP",1930,-0.15
"175",175,"GCAG",1929,-0.2985
"176",176,"GISTEMP",1929,-0.36
"177",177,"GCAG",1928,-0.1774
"178",178,"GISTEMP",1928,-0.21
"179",179,"GCAG",1927,-0.1546
"180",180,"GISTEMP",1927,-0.21
"181",181,"GCAG",1926,-0.0667
"182",182,"GISTEMP",1926,-0.1
"183",183,"GCAG",1925,-0.1481
"184",184,"GISTEMP",1925,-0.21
"185",185,"GCAG",1924,-0.2486
"186",186,"GISTEMP",1924,-0.28
"187",187,"GCAG",1923,-0.2156
"188",188,"GISTEMP",1923,-0.24
"189",189,"GCAG",1922,-0.2304
"190",190,"GISTEMP",1922,-0.28
"191",191,"GCAG",1921,-0.1485
"192",192,"GISTEMP",1921,-0.21
"193",193,"GCAG",1920,-0.2105
"194",194,"GISTEMP",1920,-0.27
"195",195,"GCAG",1919,-0.2055
"196",196,"GISTEMP",1919,-0.22
"197",197,"GCAG",1918,-0.2084
"198",198,"GISTEMP",1918,-0.26
"199",199,"GCAG",1917,-0.3146
"200",200,"GISTEMP",1917,-0.4
"201",201,"GCAG",1916,-0.293
"202",202,"GISTEMP",1916,-0.34
"203",203,"GCAG",1915,-0.0693
"204",204,"GISTEMP",1915,-0.11
"205",205,"GCAG",1914,-0.1395
"206",206,"GISTEMP",1914,-0.16
"207",207,"GCAG",1913,-0.3162
"208",208,"GISTEMP",1913,-0.34
"209",209,"GCAG",1912,-0.3288
"210",210,"GISTEMP",1912,-0.35
"211",211,"GCAG",1911,-0.4332
"212",212,"GISTEMP",1911,-0.44
"213",213,"GCAG",1910,-0.3789
"214",214,"GISTEMP",1910,-0.42
"215",215,"GCAG",1909,-0.4261
"216",216,"GISTEMP",1909,-0.47
"217",217,"GCAG",1908,-0.4396
"218",218,"GISTEMP",1908,-0.43
"219",219,"GCAG",1907,-0.3706
"220",220,"GISTEMP",1907,-0.4
"221",221,"GCAG",1906,-0.2174
"222",222,"GISTEMP",1906,-0.23
"223",223,"GCAG",1905,-0.2931
"224",224,"GISTEMP",1905,-0.28
"225",225,"GCAG",1904,-0.4194
"226",226,"GISTEMP",1904,-0.44
"227",227,"GCAG",1903,-0.3369
"228",228,"GISTEMP",1903,-0.35
"229",229,"GCAG",1902,-0.2463
"230",230,"GISTEMP",1902,-0.27
"231",231,"GCAG",1901,-0.1417
"232",232,"GISTEMP",1901,-0.15
"233",233,"GCAG",1900,-0.0679
"234",234,"GISTEMP",1900,-0.09
"235",235,"GCAG",1899,-0.1173
"236",236,"GISTEMP",1899,-0.16
"237",237,"GCAG",1898,-0.2546
"238",238,"GISTEMP",1898,-0.28
"239",239,"GCAG",1897,-0.1224
"240",240,"GISTEMP",1897,-0.11
"241",241,"GCAG",1896,-0.0974
"242",242,"GISTEMP",1896,-0.15
"243",243,"GCAG",1895,-0.229
"244",244,"GISTEMP",1895,-0.21
"245",245,"GCAG",1894,-0.2808
"246",246,"GISTEMP",1894,-0.31
"247",247,"GCAG",1893,-0.3212
"248",248,"GISTEMP",1893,-0.3
"249",249,"GCAG",1892,-0.3062
"250",250,"GISTEMP",1892,-0.27
"251",251,"GCAG",1891,-0.2532
"252",252,"GISTEMP",1891,-0.24
"253",253,"GCAG",1890,-0.322
"254",254,"GISTEMP",1890,-0.37
"255",255,"GCAG",1889,-0.0982
"256",256,"GISTEMP",1889,-0.12
"257",257,"GCAG",1888,-0.1471
"258",258,"GISTEMP",1888,-0.2
"259",259,"GCAG",1887,-0.2489
"260",260,"GISTEMP",1887,-0.33
"261",261,"GCAG",1886,-0.2003
"262",262,"GISTEMP",1886,-0.31
"263",263,"GCAG",1885,-0.2125
"264",264,"GISTEMP",1885,-0.32
"265",265,"GCAG",1884,-0.2009
"266",266,"GISTEMP",1884,-0.28
"267",267,"GCAG",1883,-0.1424
"268",268,"GISTEMP",1883,-0.21
"269",269,"GCAG",1882,-0.0648
"270",270,"GISTEMP",1882,-0.1
"271",271,"GCAG",1881,-0.0628
"272",272,"GISTEMP",1881,-0.12
"273",273,"GCAG",1880,-0.1148
"274",274,"GISTEMP",1880,-0.2
